Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"should",46,1,0.979,0.021,0.969,0.031
"i",12,1,0.923,0.077,0.893,0.107
"get",22,2,0.917,0.083,0.900,0.100
"bings",1,0,1.000,0.000,0.750,0.250
"which",61,0,1.000,0.000,0.992,0.008
"tv",11,4,0.733,0.267,0.719,0.281
"female",1,0,1.000,0.000,0.750,0.250
"friend",4,0,1.000,0.000,0.900,0.100
"group",3,7,0.300,0.700,0.318,0.682
"do",58,1,0.983,0.017,0.975,0.025
"you",324,1,0.997,0.003,0.995,0.005
"belong",4,0,1.000,0.000,0.900,0.100
"in",128,292,0.305,0.695,0.305,0.695
"the",323,95,0.773,0.227,0.772,0.228
"new",36,67,0.350,0.650,0.351,0.649
"star",12,6,0.667,0.333,0.658,0.342
"wars:",2,0,1.000,0.000,0.833,0.167
"force",2,1,0.667,0.333,0.625,0.375
"awakens",3,0,1.000,0.000,0.875,0.125
"trailer",6,0,1.000,0.000,0.929,0.071
"is",106,33,0.763,0.237,0.761,0.239
"here",8,0,1.000,0.000,0.944,0.056
"to",226,209,0.520,0.480,0.519,0.481
"give",5,1,0.833,0.167,0.786,0.214
"chills",1,0,1.000,0.000,0.750,0.250
"this",117,5,0.959,0.041,0.955,0.045
"vine",4,0,1.000,0.000,0.900,0.100
"of",164,172,0.488,0.512,0.488,0.512
"york",4,8,0.333,0.667,0.346,0.654
"on",97,90,0.519,0.481,0.519,0.481
"celebrity",8,0,1.000,0.000,0.944,0.056
"big",7,2,0.778,0.222,0.750,0.250
"brother",2,0,1.000,0.000,0.833,0.167
"fucking",3,0,1.000,0.000,0.875,0.125
"perfect",9,0,1.000,0.000,0.950,0.050
"a",177,88,0.668,0.332,0.667,0.333
"couple",4,2,0.667,0.333,0.643,0.357
"did",7,0,1.000,0.000,0.938,0.062
"stunning",4,0,1.000,0.000,0.900,0.100
"photo",7,1,0.875,0.125,0.833,0.167
"shoot",2,1,0.667,0.333,0.625,0.375
"with",82,45,0.646,0.354,0.645,0.355
"their",37,9,0.804,0.196,0.798,0.202
"baby",3,1,0.750,0.250,0.700,0.300
"after",11,50,0.180,0.820,0.185,0.815
"learning",1,0,1.000,0.000,0.750,0.250
"she",8,1,0.889,0.111,0.850,0.150
"had",15,3,0.833,0.167,0.816,0.184
"an",25,9,0.735,0.265,0.729,0.271
"inoperable",1,0,1.000,0.000,0.750,0.250
"brain",3,0,1.000,0.000,0.875,0.125
"tumor",1,0,1.000,0.000,0.750,0.250
"how",93,4,0.959,0.041,0.954,0.046
"flirt",1,0,1.000,0.000,0.750,0.250
"queer",3,0,1.000,0.000,0.875,0.125
"girls",9,1,0.900,0.100,0.864,0.136
"without",2,1,0.667,0.333,0.625,0.375
"making",7,1,0.875,0.125,0.833,0.167
"total",2,1,0.667,0.333,0.625,0.375
"fool",1,0,1.000,0.000,0.750,0.250
"yourself",3,0,1.000,0.000,0.875,0.125
"32",3,0,1.000,0.000,0.875,0.125
"cute",8,0,1.000,0.000,0.944,0.056
"things",66,1,0.985,0.015,0.978,0.022
"distract",1,0,1.000,0.000,0.750,0.250
"from",49,34,0.590,0.410,0.589,0.411
"your",156,2,0.987,0.013,0.984,0.016
"awkward",6,1,0.857,0.143,0.812,0.188
"thanksgiving",9,0,1.000,0.000,0.950,0.050
"if",34,1,0.971,0.029,0.958,0.042
"disney",8,0,1.000,0.000,0.944,0.056
